sid;№ ФО;Запись (br);Файл;Строка;Тип
1;1;0;advanced_demo.cpp;5;вход
2;1;-1;advanced_demo.cpp;5;выход
3;1;1;advanced_demo.cpp;7;while
4;2;0;advanced_demo.cpp;12;вход
5;2;-1;advanced_demo.cpp;12;выход
6;2;1;advanced_demo.cpp;14;for
7;3;0;advanced_demo.cpp;19;вход
8;3;-1;advanced_demo.cpp;19;выход
9;3;1;advanced_demo.cpp;21;if
10;3;1;advanced_demo.cpp;22;else
11;4;0;advanced_demo.cpp;27;вход
12;4;-1;advanced_demo.cpp;27;выход
13;4;1;advanced_demo.cpp;29;do
14;4;2;advanced_demo.cpp;30;if
15;5;0;advanced_demo.cpp;37;вход
16;5;-1;advanced_demo.cpp;37;выход
17;5;1;advanced_demo.cpp;39;for
18;5;2;advanced_demo.cpp;40;if
19;5;3;advanced_demo.cpp;41;if
20;6;0;advanced_demo.cpp;47;вход
21;6;-1;advanced_demo.cpp;47;выход
22;6;1;advanced_demo.cpp;48;for
23;6;2;advanced_demo.cpp;49;if
24;7;0;advanced_demo.cpp;55;вход
25;7;-1;advanced_demo.cpp;55;выход
26;7;1;advanced_demo.cpp;55;try
27;7;2;advanced_demo.cpp;57;if
28;7;1;advanced_demo.cpp;59;catch
29;8;0;advanced_demo.cpp;64;вход
30;8;-1;advanced_demo.cpp;64;выход
31;8;1;advanced_demo.cpp;71;for
32;9;0;advanced_demo.cpp;76;вход
33;9;-1;advanced_demo.cpp;76;выход
34;9;1;advanced_demo.cpp;77;if
35;10;0;advanced_demo.cpp;87;вход
36;10;-1;advanced_demo.cpp;87;выход
37;10;1;advanced_demo.cpp;88;if
38;11;0;advanced_demo.cpp;97;вход
39;11;-1;advanced_demo.cpp;97;выход
40;11;1;advanced_demo.cpp;99;case
41;11;2;advanced_demo.cpp;100;default
42;12;0;advanced_demo.h;38;вход
43;12;-1;advanced_demo.h;38;выход
44;12;1;advanced_demo.h;39;if
45;12;2;advanced_demo.h;40;if
46;13;0;exception_demo.cpp;5;вход
47;13;-1;exception_demo.cpp;5;выход
48;13;1;exception_demo.cpp;7;try
49;13;2;exception_demo.cpp;8;if
50;13;1;exception_demo.cpp;12;catch
51;14;0;exception_demo.cpp;19;вход
52;14;-1;exception_demo.cpp;19;выход
53;14;1;exception_demo.cpp;20;try
54;14;2;exception_demo.cpp;21;if
55;14;3;exception_demo.cpp;24;if
56;14;4;exception_demo.cpp;27;if
57;14;1;exception_demo.cpp;31;catch
58;14;1;exception_demo.cpp;33;catch
59;14;1;exception_demo.cpp;35;catch
60;15;0;exception_demo.cpp;41;вход
61;15;-1;exception_demo.cpp;41;выход
62;15;1;exception_demo.cpp;43;try
63;15;2;exception_demo.cpp;44;try
64;15;3;exception_demo.cpp;45;if
65;15;2;exception_demo.cpp;49;catch
66;15;1;exception_demo.cpp;52;catch
67;16;0;exception_demo.cpp;66;вход
68;16;-1;exception_demo.cpp;66;выход
69;16;1;exception_demo.cpp;70;while
70;16;2;exception_demo.cpp;70;try
71;16;3;exception_demo.cpp;71;if
72;16;2;exception_demo.cpp;76;catch
73;17;0;exception_demo.cpp;83;вход
74;17;-1;exception_demo.cpp;83;выход
75;17;1;exception_demo.cpp;85;try
76;17;2;exception_demo.cpp;86;for
77;17;3;exception_demo.cpp;89;if
78;17;4;exception_demo.cpp;93;if
79;17;1;exception_demo.cpp;96;catch
80;18;0;if_demo.cpp;4;вход
81;18;-1;if_demo.cpp;4;выход
82;18;1;if_demo.cpp;6;if
83;19;0;if_demo.cpp;13;вход
84;19;-1;if_demo.cpp;13;выход
85;19;1;if_demo.cpp;14;if
86;19;1;if_demo.cpp;16;else
87;20;0;if_demo.cpp;22;вход
88;20;-1;if_demo.cpp;22;выход
89;20;1;if_demo.cpp;23;if
90;20;2;if_demo.cpp;25;if
91;20;3;if_demo.cpp;27;if
92;20;4;if_demo.cpp;29;if
93;21;0;if_demo.cpp;36;вход
94;21;-1;if_demo.cpp;36;выход
95;21;1;if_demo.cpp;38;if
96;21;2;if_demo.cpp;39;if
97;21;3;if_demo.cpp;42;if
98;22;0;if_demo.cpp;50;вход
99;22;-1;if_demo.cpp;50;выход
100;22;1;if_demo.cpp;52;if
101;23;0;loop_demo.cpp;4;вход
102;23;-1;loop_demo.cpp;4;выход
103;23;1;loop_demo.cpp;6;for
104;24;0;loop_demo.cpp;13;вход
105;24;-1;loop_demo.cpp;13;выход
106;24;1;loop_demo.cpp;15;for
107;24;2;loop_demo.cpp;16;for
108;25;0;loop_demo.cpp;24;вход
109;25;-1;loop_demo.cpp;24;выход
110;25;1;loop_demo.cpp;26;for
111;25;2;loop_demo.cpp;27;if
112;25;3;loop_demo.cpp;31;if
113;26;0;loop_demo.cpp;39;вход
114;26;-1;loop_demo.cpp;39;выход
115;26;1;loop_demo.cpp;41;while
116;27;0;loop_demo.cpp;49;вход
117;27;-1;loop_demo.cpp;49;выход
118;27;1;loop_demo.cpp;51;do
119;28;0;loop_demo.cpp;59;вход
120;28;-1;loop_demo.cpp;59;выход
121;28;1;loop_demo.cpp;61;while
122;28;2;loop_demo.cpp;62;if
123;29;0;macro_demo.cpp;29;вход
124;29;-1;macro_demo.cpp;29;выход
125;29;1;macro_demo.cpp;31;if
132;33;0;macro_demo.cpp;83;вход
133;33;-1;macro_demo.cpp;83;выход
134;34;0;macro_demo.cpp;85;вход
135;34;-1;macro_demo.cpp;85;выход
137;35;0;macro_demo.cpp;92;вход
138;35;-1;macro_demo.cpp;92;выход
139;36;0;main.cpp;20;вход
140;36;-1;main.cpp;20;выход
141;37;0;negative_demo.cpp;4;вход
142;37;-1;negative_demo.cpp;4;выход
143;37;1;negative_demo.cpp;6;case
144;37;2;negative_demo.cpp;7;case
145;37;3;negative_demo.cpp;9;case
146;37;4;negative_demo.cpp;10;case
147;37;5;negative_demo.cpp;11;case
148;37;6;negative_demo.cpp;12;case
149;37;7;negative_demo.cpp;13;case
150;37;8;negative_demo.cpp;15;default
151;38;0;negative_demo.cpp;21;вход
152;38;-1;negative_demo.cpp;21;выход
153;39;0;negative_demo.cpp;29;вход
154;39;-1;negative_demo.cpp;29;выход
155;40;0;negative_demo.cpp;37;вход
156;40;-1;negative_demo.cpp;37;выход
157;40;1;negative_demo.cpp;42;if
158;41;0;negative_demo.cpp;49;вход
159;41;-1;negative_demo.cpp;49;выход
160;42;0;negative_demo.cpp;63;вход
161;42;-1;negative_demo.cpp;63;выход
162;42;1;negative_demo.cpp;67;case
163;42;2;negative_demo.cpp;69;default
164;43;0;oneline_demo.cpp;7;вход
165;43;-1;oneline_demo.cpp;7;выход
166;43;1;oneline_demo.cpp;9;if
167;44;0;oneline_demo.cpp;18;вход
168;44;-1;oneline_demo.cpp;18;выход
169;44;1;oneline_demo.cpp;20;if
170;44;1;oneline_demo.cpp;20;else
171;45;0;oneline_demo.cpp;25;вход
172;45;-1;oneline_demo.cpp;25;выход
173;45;1;oneline_demo.cpp;27;if
174;45;1;oneline_demo.cpp;27;else
175;46;0;oneline_demo.cpp;32;вход
176;46;-1;oneline_demo.cpp;32;выход
177;46;1;oneline_demo.cpp;34;if
178;46;1;oneline_demo.cpp;34;else
179;47;0;oneline_demo.cpp;39;вход
180;47;-1;oneline_demo.cpp;39;выход
181;47;1;oneline_demo.cpp;41;if
182;47;1;oneline_demo.cpp;41;else
183;48;0;oneline_demo.cpp;46;вход
184;48;-1;oneline_demo.cpp;46;выход
185;48;1;oneline_demo.cpp;48;for
186;49;0;oneline_demo.cpp;53;вход
187;49;-1;oneline_demo.cpp;53;выход
188;49;1;oneline_demo.cpp;55;while
189;50;0;oneline_demo.cpp;60;вход
190;50;-1;oneline_demo.cpp;60;выход
191;50;1;oneline_demo.cpp;62;do
192;51;0;oneline_demo.cpp;69;вход
193;51;-1;oneline_demo.cpp;69;выход
194;51;1;oneline_demo.cpp;71;if
195;52;0;oneline_demo.cpp;76;вход
196;52;-1;oneline_demo.cpp;76;выход
197;52;1;oneline_demo.cpp;78;for
198;53;0;oneline_demo.cpp;83;вход
199;53;-1;oneline_demo.cpp;83;выход
200;53;1;oneline_demo.cpp;85;while
201;54;0;oneline_demo.cpp;90;вход
202;54;-1;oneline_demo.cpp;90;выход
203;54;1;oneline_demo.cpp;92;do
204;55;0;oneline_demo.cpp;97;вход
205;55;-1;oneline_demo.cpp;97;выход
206;55;1;oneline_demo.cpp;98;try
207;55;1;oneline_demo.cpp;98;if
208;55;1;oneline_demo.cpp;99;catch
209;56;0;oneline_demo.cpp;103;вход
210;56;-1;oneline_demo.cpp;103;выход
211;56;1;oneline_demo.cpp;105;for
212;56;1;oneline_demo.cpp;105;if
213;57;0;pipeline.cpp;4;вход
214;57;-1;pipeline.cpp;4;выход
215;58;0;pipeline.cpp;7;вход
216;58;-1;pipeline.cpp;7;выход
217;58;1;pipeline.cpp;8;if
218;59;0;pipeline.cpp;16;вход
219;59;-1;pipeline.cpp;16;выход
220;59;1;pipeline.cpp;18;for
221;59;2;pipeline.cpp;19;if
222;60;0;pipeline.cpp;27;вход
223;60;-1;pipeline.cpp;27;выход
224;60;1;pipeline.cpp;29;while
225;60;2;pipeline.cpp;33;do
226;61;0;pipeline.cpp;41;вход
227;61;-1;pipeline.cpp;41;выход
228;61;1;pipeline.cpp;42;try
229;61;2;pipeline.cpp;43;if
230;61;3;pipeline.cpp;48;if
231;61;1;pipeline.cpp;52;catch
232;62;0;single_stmt_demo.cpp;4;вход
233;62;-1;single_stmt_demo.cpp;4;выход
234;62;1;single_stmt_demo.cpp;7;if
235;63;0;single_stmt_demo.cpp;13;вход
236;63;-1;single_stmt_demo.cpp;13;выход
237;63;1;single_stmt_demo.cpp;16;if
238;63;1;single_stmt_demo.cpp;18;else
239;64;0;single_stmt_demo.cpp;23;вход
240;64;-1;single_stmt_demo.cpp;23;выход
241;64;1;single_stmt_demo.cpp;26;for
242;65;0;single_stmt_demo.cpp;31;вход
243;65;-1;single_stmt_demo.cpp;31;выход
244;65;1;single_stmt_demo.cpp;34;while
245;66;0;single_stmt_demo.cpp;39;вход
246;66;-1;single_stmt_demo.cpp;39;выход
247;66;1;single_stmt_demo.cpp;42;do
248;67;0;single_stmt_demo.cpp;48;вход
249;67;-1;single_stmt_demo.cpp;48;выход
250;67;1;single_stmt_demo.cpp;51;for
251;67;2;single_stmt_demo.cpp;52;if
