№ п/п;Объект;Объявлен в;Число использований;Позиция входа;Позиция выхода
1;cstr_len;advanced_demo.cpp(5);1;5:37;9:1
2;skip_spaces;advanced_demo.cpp(12);1;12:32;16:1
3;classify_empty;advanced_demo.cpp(19);2;19:27;24:1
4;do_once;advanced_demo.cpp(27);2;27:20;34:1
5;find_first_zero;advanced_demo.cpp(37);2;37:42;44:1
6;is_palindrome;advanced_demo.cpp(47);2;47:42;52:1
7;safe_div;advanced_demo.cpp(55);2;55:32;59:1
8;count_positive;advanced_demo.cpp(64);1;64:47;73:1
9;factorial;advanced_demo.cpp(76);1;76:23;79:1
10;brace_literal_guard;advanced_demo.cpp(87);2;87:45;92:1
11;case_no_space_kind;advanced_demo.cpp(97);2;97:31;102:1
12;constexpr_square;advanced_demo.cpp(115);0;0:0;0:0
13;clamp_val;advanced_demo.h(38);3;38:30;42:1
14;simple_try;exception_demo.cpp(5);2;5:23;16:1
15;try_multiple_catch;exception_demo.cpp(19);4;19:34;38:1
16;nested_try;exception_demo.cpp(41);2;41:23;56:1
17;while_try_no_brace;exception_demo.cpp(66);1;66:31;80:1
18;try_with_loop;exception_demo.cpp(83);2;83:41;100:1
19;simple_if;if_demo.cpp(4);1;4:22;10:1
20;if_else;if_demo.cpp(13);2;13:20;19:1
21;else_if_chain;if_demo.cpp(22);4;22:30;33:1
22;nested_if;if_demo.cpp(36);2;36:29;47:1
23;if_with_logical;if_demo.cpp(50);1;50:35;56:1
24;sum_for;loop_demo.cpp(4);1;4:21;10:1
25;nested_for;loop_demo.cpp(13);1;13:36;21:1
26;for_with_break;loop_demo.cpp(24);1;24:56;36:1
27;count_down_while;loop_demo.cpp(39);1;39:29;46:1
28;do_while_demo;loop_demo.cpp(49);1;49:26;56:1
29;while_with_if;loop_demo.cpp(59);1;59:26;68:1
30;macro_body;macro_demo.cpp(29);1;29:23;33:8
31;macro_full_body;macro_demo.cpp(44);1;44:24;44:33
32;add_via_macro;macro_demo.cpp(61);1;61:1;61:25
33;add_via_macro2;macro_demo.cpp(62);1;62:1;62:26
34;log_message;macro_demo.cpp(83);1;83:47;83:74
35;check_macro_guard;macro_demo.cpp(85);2;85:35;88:1
36;call_macro_demo;macro_demo.cpp(92);1;92:27;99:1
37;main;main.cpp(20);0;20:12;149:1
38;weekday_kind;negative_demo.cpp(4);4;4:25;18:1
39;sum_range;negative_demo.cpp(21);1;21:42;26:1
40;sign_and_flags;negative_demo.cpp(29);1;29:34;34:1
41;retry_goto;negative_demo.cpp(37);1;37:23;44:1
42;macro_control;negative_demo.cpp(49);2;49:26;52:1
43;macro_generated_cases;negative_demo.cpp(63);3;63:35;72:1
44;if_oneline_nobrace;oneline_demo.cpp(7);1;7:31;11:1
45;if_else_oneline_nn;oneline_demo.cpp(18);2;18:31;22:1
46;if_else_oneline_bb;oneline_demo.cpp(25);2;25:31;29:1
47;if_else_oneline_nb;oneline_demo.cpp(32);2;32:31;36:1
48;if_else_oneline_bn;oneline_demo.cpp(39);2;39:31;43:1
49;for_oneline_nobrace;oneline_demo.cpp(46);1;46:33;50:1
50;while_oneline_nobrace;oneline_demo.cpp(53);1;53:34;57:1
51;do_oneline_nobrace;oneline_demo.cpp(60);1;60:31;64:1
52;if_oneline_brace;oneline_demo.cpp(69);1;69:29;73:1
53;for_oneline_brace;oneline_demo.cpp(76);1;76:31;80:1
54;while_oneline_brace;oneline_demo.cpp(83);1;83:32;87:1
55;do_oneline_brace;oneline_demo.cpp(90);1;90:29;94:1
56;try_oneline_brace;oneline_demo.cpp(97);2;97:30;100:1
57;nested_oneline;oneline_demo.cpp(103);1;103:44;107:1
58;Pipeline::Pipeline;pipeline.cpp(4);1;4:59;4:60
59;Pipeline::above_threshold;pipeline.cpp(7);1;7:45;12:1
60;Pipeline::classify;pipeline.cpp(16);2;16:54;24:1
61;Pipeline::normalize;pipeline.cpp(27);2;27:36;37:1
62;Pipeline::process;pipeline.cpp(41);3;41:53;55:1
63;if_single;single_stmt_demo.cpp(4);1;4:22;9:1
64;if_else_single;single_stmt_demo.cpp(13);2;13:27;20:1
65;for_single;single_stmt_demo.cpp(23);1;23:24;28:1
66;while_single;single_stmt_demo.cpp(31);1;31:25;36:1
67;do_single;single_stmt_demo.cpp(39);1;39:22;45:1
68;nested_single;single_stmt_demo.cpp(48);1;48:43;54:1
69;run_unsafe;unsafe_demo.cpp(7);1;7:34;14:1
