№ п/п;№ ФО;ФО;№ ветви;Тип;Файл;Строка;Позиция вставки;Блок;Позиция конца;Покрыта
1;1;cstr_len;1;while;advanced_demo.cpp;7;7:18;0;7:18;да
2;2;skip_spaces;1;for;advanced_demo.cpp;14;14:30;0;14:30;да
3;3;classify_empty;1;if;advanced_demo.cpp;21;21:16;0;21:16;да
4;3;classify_empty;2;else;advanced_demo.cpp;22;22:10;0;22:16;да
5;4;do_once;1;do;advanced_demo.cpp;29;29:8;1;32:5;да
6;4;do_once;2;if;advanced_demo.cpp;30;30:20;0;30:25;да
7;5;find_first_zero;1;for;advanced_demo.cpp;39;39:14;1;43:5;да
8;5;find_first_zero;2;if;advanced_demo.cpp;40;40:21;0;40:30;да
9;5;find_first_zero;3;if;advanced_demo.cpp;41;41:24;0;41:32;да
10;6;is_palindrome;1;for;advanced_demo.cpp;48;48:49;1;50:5;да
11;6;is_palindrome;2;if;advanced_demo.cpp;49;49:27;0;49:39;да
12;7;safe_div;1;try;advanced_demo.cpp;55;55:32;1;59:1;да
13;7;safe_div;2;if;advanced_demo.cpp;56;57:9;0;57:48;да
14;7;safe_div;3;catch;advanced_demo.cpp;59;59:33;1;61:1;да
15;8;count_positive;1;for;advanced_demo.cpp;70;71:9;0;71:24;да
16;9;factorial;1;if;advanced_demo.cpp;77;77:17;0;77:25;да
17;10;brace_literal_guard;1;if;advanced_demo.cpp;88;88:27;1;90:5;да
18;11;case_no_space_kind;1;case;advanced_demo.cpp;99;99:16;2;0:0;да
19;11;case_no_space_kind;2;default;advanced_demo.cpp;100;100:17;2;0:0;да
20;13;clamp_val;1;if;advanced_demo.h;39;39:17;0;39:26;да
21;13;clamp_val;2;if;advanced_demo.h;40;40:17;0;40:26;да
22;14;simple_try;1;try;exception_demo.cpp;7;7:9;1;12:5;да
23;14;simple_try;2;if;exception_demo.cpp;8;8:20;1;10:9;да
24;14;simple_try;3;catch;exception_demo.cpp;12;12:37;1;14:5;да
25;15;try_multiple_catch;1;try;exception_demo.cpp;20;20:9;1;31:5;да
26;15;try_multiple_catch;2;if;exception_demo.cpp;21;21:24;1;23:9;да
27;15;try_multiple_catch;3;if;exception_demo.cpp;24;24:24;1;26:9;да
28;15;try_multiple_catch;4;if;exception_demo.cpp;27;27:24;1;29:9;да
