№ п/п;Объект;Объявлен в;Число использований;Позиция входа;Позиция выхода
1;branches.AdvancedDemo.cstrLen;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(10);1;10:27;14:5
2;branches.AdvancedDemo.skipSpaces;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(17);1;17:30;21:5
3;branches.AdvancedDemo.classifyEmpty;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(25);2;25:30;30:5
4;branches.AdvancedDemo.doOnce;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(37);2;37:23;44:5
5;branches.AdvancedDemo.findFirstZero;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(47);2;47:39;54:5
6;branches.AdvancedDemo.isPalindrome;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(58);2;58:43;63:5
7;branches.AdvancedDemo.safeDiv;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(69);2;69:31;78:5
8;branches.AdvancedDemo.countPositive;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(88);1;88:40;96:5
9;branches.AdvancedDemo.factorial;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(99);1;99:27;102:5
10;branches.AdvancedDemo.braceLiteralGuard;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(108);2;108:53;113:5
11;branches.AdvancedDemo.caseNoSpaceKind;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java(118);2;118:32;123:5
12;branches.BranchDemo.BranchDemo;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java(6);1;6:33;8:5
13;branches.BranchDemo.ifBranch;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java(10);2;10:32;16:5
14;branches.BranchDemo.forBranch;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java(18);1;18:33;24:5
15;branches.BranchDemo.whileBranch;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java(26);1;26:35;33:5
16;branches.BranchDemo.tryBranch;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java(35);2;35:39;41:5
