№ п/п;№ ФО;ФО;№ ветви;Тип;Файл;Строка;Позиция вставки
1;1;branches.AdvancedDemo.cstrLen;1;while;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;12;12:32
2;2;branches.AdvancedDemo.skipSpaces;1;for;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;19;19:59
3;3;branches.AdvancedDemo.classifyEmpty;1;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;27;27:20
4;3;branches.AdvancedDemo.classifyEmpty;2;else;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;28;28:14
5;4;branches.AdvancedDemo.doOnce;1;do;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;39;39:12
6;4;branches.AdvancedDemo.doOnce;2;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;40;40:24
7;5;branches.AdvancedDemo.findFirstZero;1;for;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;49;49:18
8;5;branches.AdvancedDemo.findFirstZero;2;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;50;50:25
9;5;branches.AdvancedDemo.findFirstZero;3;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;51;51:28
10;6;branches.AdvancedDemo.isPalindrome;1;for;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;59;59:53
11;6;branches.AdvancedDemo.isPalindrome;2;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;60;60:45
12;7;branches.AdvancedDemo.safeDiv;1;try;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;70;70:13
13;7;branches.AdvancedDemo.safeDiv;2;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;71;71:25
14;7;branches.AdvancedDemo.safeDiv;3;catch;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;75;75:38
15;8;branches.AdvancedDemo.countPositive;1;for;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;90;90:44
16;8;branches.AdvancedDemo.countPositive;2;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;91;91:31
17;9;branches.AdvancedDemo.factorial;1;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;100;100:21
18;10;branches.AdvancedDemo.braceLiteralGuard;1;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;109;109:31
19;11;branches.AdvancedDemo.caseNoSpaceKind;1;case;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;120;120:20
20;11;branches.AdvancedDemo.caseNoSpaceKind;2;default;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/AdvancedDemo.java;121;121:21
21;13;branches.BranchDemo.ifBranch;1;if;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java;11;11:20
22;13;branches.BranchDemo.ifBranch;2;else;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java;13;13:16
23;14;branches.BranchDemo.forBranch;1;for;E:/codeql-parser/examples/test-projects/small-projects/test-project-java-branches/branches/BranchDemo.java;20;20:37
